Generation,Treatment,Sample,Sex,GenTreatment,Antibiotic,Sugar.Weight,Glucose ,Trehalose,Glycogen,Fat.Weight,TAG
F1,N+,1,male,N,antibiotic,2.21,5.795982335,8.21356795,60.32901767,2.62,14.18292423
F1,N+,2,male,N,antibiotic,2.75,4.83392984,7.353766156,43.12304748,2.48,14.69544529
F1,N+,3,male,N,antibiotic,2.49,6.162321527,11.33858587,36.54974987,2.6,15.08583117
F1,N+,4,male,N,antibiotic,2.62,4.423359741,14.36578431,48.26575557,2.68,14.54273635
F1,N+,5,male,N,antibiotic,2.91,6.03069386,13.53890668,54.10847115,2.37,15.93746139
F1,N+,6,male,N,antibiotic,2.24,5.763180735,10.27960484,41.15529753,2.7,10.87385998
F1,N+,7,male,N,antibiotic,2.51,6.685290872,16.04346236,40.16394125,2.58,12.71024835
F1,N+,8,male,N,antibiotic,2.44,5.273074352,10.32004782,42.38353361,2.48,16.03692301
F1,N+,9,male,N,antibiotic,2.22,6.336064189,12.63812771,50.18668642,2.44,17.83367348
F1,N+,10,male,N,antibiotic,2.4,6.670438715,9.222673255,40.08971455,2.55,13.16967969
F1,N+,11,male,N,antibiotic,2.59,5.488869547,9.008042995,48.08272929,2.94,14.62444286
F1,N+,12,male,N,antibiotic,2.38,5.737704918,11.07922902,39.97560255,2.36,11.11676214
F1,N+,13,male,N,antibiotic,2.56,8.125,10.38148726,47.33119775,2.42,8.133560083
F1,N+,14,male,N,antibiotic,2.58,6.315531091,9.192026098,37.4016055,2.51,11.09474334
F1,N+,15,male,N,antibiotic,2.47,6.369226908,9.98438986,59.75577309,2.38,12.87763164
F1,N+,16,male,N,antibiotic,2.87,8.96875,8.372230684,38.98822732,2.53,6.550829977
F1,N+,17,male,N,antibiotic,2.46,5.207708929,7.391039626,37.50436247,2.52,16.09082331
F1,N+,18,male,N,antibiotic,2.29,6.334539017,13.392997,46.35457629,2.39,12.70224057
F1,N+,19,male,N,antibiotic,2.63,6.38819403,11.58004883,53.75097098,2.47,15.06833751
F1,N+,20,male,N,antibiotic,2.74,5.930140399,11.28187572,40.98833786,2.4,9.583012016
F1,N+,21,male,N,antibiotic,2.55,7.683975193,11.87203958,39.16525692,2.34,12.78723501
F1,N+,22,male,N,antibiotic,2.49,5.819619217,15.96727664,41.83698875,2.35,18.76684167
F1,N+,23,male,N,antibiotic,2.04,7.017713876,8.084674108,49.50503674,2.63,18.49857059
F1,N+,24,male,N,antibiotic,2.47,7.74568012,10.79951015,39.01447314,2.63,17.27042685
F1,N+,25,male,N,antibiotic,2.4,4.958870421,14.48557402,48.61272842,2.49,6.414817753
F1,N+,26,male,N,antibiotic,2.53,5.781929698,14.4120794,39.93137777,2.37,12.13347489
F1,N+,27,male,N,antibiotic,2.29,6.610988458,15.75993335,48.84520929,2.31,18.74887077
F1,N+,28,male,N,antibiotic,2.9,5.792627083,11.07690335,37.9245095,2.52,9.57030478
F1,C+,1,male,C,antibiotic,2.47,8.658428322,13.56100855,60.29238352,2.61,5.817043828
F1,C+,2,male,C,antibiotic,2.45,8.054577465,11.26046755,48.88039256,2.69,10.60733482
F1,C+,3,male,C,antibiotic,1.79,8.300618838,5.732645196,37.51696828,2.74,11.07261613
F1,C+,4,male,C,antibiotic,2.55,7.645863188,20.89536303,51.40750639,2.65,15.31805722
F1,C+,5,male,C,antibiotic,2.34,7.294497571,10.73438102,50.72632529,2.49,15.97393718
F1,C+,6,male,C,antibiotic,2.26,5.990638063,15.51085695,69.46667901,2.66,14.21178479
F1,C+,7,male,C,antibiotic,2.48,7.351388023,9.71988081,47.49529463,2.42,7.248612253
F1,C+,8,male,C,antibiotic,2.64,4.845731844,13.74888411,37.15831674,2.55,12.49653855
