"OTU.ID"	"G1F0C1A"	"G1F0C2A"	"G1F0C3A"	"G1F0C4A"	"G1F0C5A"	"G1F0C6A"	"G1F0C7A"	"G1F0C8A"	"G1F0N1A"	"G1F0N2A"	"G1F0N3A"	"G1F0N4A"	"G1F0N5A"	"G1F0N6A"	"G1F0N7A"	"G1F0N8A"	"G1F1C1"	"G1F1C10"	"G1F1C11"	"G1F1C12"	"G1F1C13"	"G1F1C14"	"G1F1C15"	"G1F1C2"	"G1F1C3"	"G1F1C4"	"G1F1C5"	"G1F1C6"	"G1F1C7"	"G1F1C8"	"G1F1C9"	"G1F1N1"	"G1F1N10"	"G1F1N11"	"G1F1N12"	"G1F1N13"	"G1F1N14"	"G1F1N15"	"G1F1N2"	"G1F1N3"	"G1F1N4"	"G1F1N5"	"G1F1N6"	"G1F1N7"	"G1F1N8"	"G1F1N9"	"G2F2C1"	"G2F2C10"	"G2F2C11"	"G2F2C12"	"G2F2C13"	"G2F2C14"	"G2F2C15"	"G2F2C15B"	"G2F2C2"	"G2F2C3"	"G2F2C4"	"G2F2C5"	"G2F2C6"	"G2F2C7"	"G2F2C8"	"G2F2C9"	"G2F2N1"	"G2F2N10"	"G2F2N11"	"G2F2N12"	"G2F2N13"	"G2F2N14"	"G2F2N15"	"G2F2N2"	"G2F2N3"	"G2F2N4"	"G2F2N5"	"G2F2N6"	"G2F2N7"	"G2F2N8"	"G2F2N9"	"G2F3C1"	"G2F3C10"	"G2F3C11"	"G2F3C12"	"G2F3C13"	"G2F3C14"	"G2F3C15"	"G2F3C2"	"G2F3C3"	"G2F3C4"	"G2F3C5"	"G2F3C6"	"G2F3C7"	"G2F3C8"	"G2F3C9"	"G2F3N1"	"G2F3N10"	"G2F3N11"	"G2F3N12"	"G2F3N13"	"G2F3N14"	"G2F3N15"	"G2F3N2"	"G2F3N3"	"G2F3N4"	"G2F3N5"	"G2F3N6"	"G2F3N7"	"G2F3N8"	"G2F3N9"
"11"	"6347f49f29498ca5d372acf078867f8c"	14	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	46	22	26	15	17	21	0	49	29	0	8	38	16	94	16	18	0	41	11	0	27	0	48	0	0	0	51	0	12	19	19	12	13	30	0	0	0	0	9	17	15	40	18	10	7	16	4	18	0	0	0	40	0	61	0	0	13	31	30	0	44	39	21	0	54	38	15	0	30	11	31	24	36	29	38	19	0	33	54	38	28	23	31	44	49	53	35	30
"12"	"51748eff6ad815c20fb20d52d312f052"	0	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	5	3	0	9	0	5	0	0	11	6	23	9	16	5	0	6	0	0	8	20	13	6	0	6	8	15	0	13	11	13	19	14	24	16	35	20	22	9	19	15	46	16	46	7	14	50	13	34	19	7	16	18	17	0	12	16	36	25	8	17	12	19	6	14	15	7	13	18	19	21	16	26	13	23	25	14	34	16	12	35	53	23	10	6	8	23	7	18	11	7	9
"13"	"727468e1609634b15fb02f62fbb327d4"	35	33	65	856	32	171	54	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"a63128c4e2f679060a82a66ff33a958b"	3	0	0	14	13	15	23	0	0	0	0	11	0	0	0	0	0	46	60	87	27	85	44	0	0	0	0	17	0	132	94	196	11	23	27	58	0	0	12	32	15	7	0	128	0	44	0	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	5	0	0	10	0	0	0	8	0	13	6	8	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
"15"	"5caabcf6d5357d037c1796b9b8135bcf"	42	91	30	583	0	132	36	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"66ad91a7ebab6a2347c6041f6959f4a3"	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	44	0	67	15	45	27	10	31	47	20	24	0	0	48	9	0	22	0	36	18	18	0	15	8	35	24	0	0	16	25	16	0	27	0	16	19	0	26	18	23	23	37	46	14	0	0	11	36	36	21	0	0	11	33	16	23	15	0	0
"17"	"da7cab201e10d58293aef7765e409c6d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	42	18	0	0	0	0	0	19	0	11	18	0	0	0	0	6	0	0	0	0	0	9	0	0	0	0	49	0	60	52	0	45	32	17	9	0	46	0	26	0	34	28	42	82	19	0	76	49	21	20	23	29	0	48	44	25
"18"	"6d58aff4eba5e4ef87c510f32aaf5503"	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	0	0	11	0	27	6	20	13	21	15	14	2	33	7	16	8	23	18	4	21	13	3	15	6	5	0	7	0	24	17	4	12	10	32	11	11	22	0	13	13	18	19	18	33	13	24	20	11	27	14	11	39	19	21	14	13	16	23	10	11	16	9	17
"19"	"dd139632dad6dcd1755c755856df4c04"	0	11	0	0	18	25	9	0	0	0	0	0	0	0	0	0	16	0	40	0	0	0	19	6	0	0	45	0	0	11	15	53	0	22	33	25	0	0	20	28	0	18	0	8	23	0	0	0	0	16	15	7	17	32	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	8	0	10	0	10	0	0	6	4	18	0	0	0	0	0
"20"	"79664111b317958d305544681f0bd3dd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	47	26	54	51	19	33	20	35	10	13	38	0	39	22	15	29	65	55	0	44	30	31	19	14	6	18	32	23	0	33
