"Feature ID"	"Taxon"	"Confidence"
"14b13eff1dce0de7442fed588d65f325"	"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus"	"0.9999567651010665"
"14d2d7f74f445f1b64dbaec6c8d6c57c"	"D_0__Bacteria"	"0.9481370934233206"
"14e60935b4b523cdebe2c8314597fdd1"	"D_0__Bacteria"	"0.9510015645789283"
"14e7c58e6fb8ed7fce046772156223b1"	"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus;Ambiguous_taxa;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__"	"0.7126918577122057"
"1567ffb543f182f585331fd93df3193c"	"D_0__Bacteria"	"0.9712399767433777"
"1579e779918e3d93d8e11921338b0df4"	"D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Comamonadaceae"	"0.9998718621987854"
"1634fcc27451b872a8e366097f0116e9"	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast"	"0.9998517735754578"
"16fb49acba0a3a21b6c542cbc76f3db5"	"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Anaerococcus"	"0.9999999869250155"
"174872368223bcde1cf49a818f9e4b01"	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas"	"0.9779015104852459"
"17d30d997146d66c1cec2da562544fb7"	"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Planococcaceae;D_5__Lysinibacillus"	"0.9946953351549385"
"1876fabec31864a52344b7bd5cfed60f"	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast"	"0.9998692977863874"
"18799c68c79d3d2b25cf7e5c3c7f63ce"	"D_0__Bacteria"	"0.9635882779879308"
"18df473790ae48e253aecc30db7c1625"	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas"	"0.9991691017688346"
"1910dcf6315135f7947c373ec31f82f6"	"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus"	"0.9999521764000304"
